a;codigo
aisén;11201
algarrobo;5602
alhué;13502
alto bío bío;8314
alto del carmen;3302
alto hospicio;1107
ancud;10202
andacollo;4103
angol;9201
antofagasta;2101
antuco;8302
arauco;8202
arica;15101
buin;13402
bulnes;16102
cabildo;5402
cabo de hornos;12201
cabrero;8303
calama;2201
calbuco;10102
caldera;3102
calera de tango;13403
calle larga;5302
camarones;15102
camiña;1402
canela;4202
cañete;8203
carahue;9102
cartagena;5603
casablanca;5102
castro;10201
catemu;5702
cauquenes;7201
cerrillos;13102
cerro navia;13103
chaitén;10401
chanco;7202
chañaral;3201
chépica;6302
chiguayante;8103
chile chico;11401
chillán;16101
chillán viejo;16103
chimbarongo;6303
cholchol;9121
chonchi;10203
cisnes;11202
cobquecura;16202
cochamó;10103
cochrane;11301
codegua;6102
coelemu;16203
coihueco;16302
coinco;6103
colbún;7402
colchane;1403
colina;13301
collipulli;9202
coltauco;6104
combarbalá;4302
concepción;8101
conchalí;13104
concón;5103
constitución;7102
contulmo;8204
copiapó;3101
coquimbo;4102
coronel;8102
corral;14102
coyhaique;10509
cunco;9103
curacautín;9203
curacaví;13503
curaco de vélez;10204
curanilahue;8205
curarrehue;9104
curepto;7103
curicó;7301
dalcahue;10205
diego de almagro;3202
doñihue;6105
el bosque;13105
el carmen;16104
el monte;13602
el quisco;5604
el tabo;5605
empedrado;7104
ercilla;9204
estación central;13106
florida;8104
freire;9105
freirina;3303
fresia;10104
frutillar;10105
futaleufú;10402
futrono;14202
galvarino;9106
general lagos;15202
gorbea;9107
graneros;6106
hijuelas;5503
hualaihué;10403
hualañé;7302
hualpén;8112
hualqui;8105
huara;1404
huasco;3304
huechuraba;13107
illapel;4201
independencia;13108
iquique;1101
isla de maipo;13603
la calera;5502
la cisterna;13109
la cruz;5504
la estrella;6202
la florida;13110
la granja;13111
la higuera;4104
la ligua;5401
la pintana;13112
la reina;13113
la serena;4101
la unión;14201
lago ranco;14203
laja;8304
lampa;13302
lanco;14103
las cabras;6107
las condes;13114
lautaro;9108
lebu;8201
licantén;7303
limache;5802
linares;7401
litueche;6203
llanquihue;10107
llay llay;5703
lo barnechea;13115
lo espejo;13116
lo prado;13117
lolol;6304
loncoche;9109
longaví;7403
lonquimay;9205
los alamos;8206
los andes;5301
los angeles;8301
los lagos;14104
los muermos;10106
los sauces;9206
los vilos;4203
lota;8106
lumaco;9207
machalí;6108
macul;13118
máfil;14105
maipú;13119
malloa;6109
marchihue;6204
maría elena;2302
maría pinto;13504
mariquina;14106
maule;7105
maullín;10108
mejillones;2102
melipeuco;9110
melipilla;13501
molina;7304
monte patria;4303
mostazal;6110
mulchén;8305
nacimiento;8306
nancagua;6305
natales;12401
navidad;6205
negrete;8307
ninhue;16204
nogales;5506
nueva imperial;9111
Ñiquén;16303
Ñuñoa;13120
olivar;6111
ollague;2202
olmué;5803
osorno;10301
ovalle;4301
padre hurtado;13604
padre las casas;9112
paihuano;4105
paillaco;14107
paine;13404
palena;10404
palmilla;6306
panguipulli;14108
panquehue;5704
papudo;5403
paredones;6206
parral;7404
pedro aguirre cerda;13121
pelarco;7106
pelluhue;7203
pemuco;16105
pencahue;7107
penco;8107
peñaflor;13605
peñalolén;13122
peralillo;6307
perquenco;9113
petorca;5404
peumo;6112
pica;1405
pichidegua;6113
pichilemu;6201
pinto;16106
pirque;13202
pitrufquén;9114
placilla;6308
portezuelo;16205
porvenir;12301
pozo almonte;1401
primavera;12302
providencia;13123
puchuncaví;5105
pucón;9115
pudahuel;13124
puente alto;13201
puerto montt;10101
puerto octay;10302
puerto varas;10109
pumanque;6309
punitaqui;4304
punta arenas;12101
puqueldón;10206
purén;9208
purranque;10303
putaendo;5705
putre;15201
puyehue;10304
queilén;10207
quellón;16107
quemchi;10209
quilaco;8308
quilicura;13125
quilleco;8309
quillón;8413
quillota;5501
quilpué;5801
quinchao;10210
quinta de tilcoco;6114
quinta normal;13126
quintero;5107
quirihue;16201
rancagua;6101
ránquil;16206
rauco;7305
recoleta;13127
renaico;9209
renca;13128
rengo;6115
requínoa;6116
retiro;7405
rinconada;5303
río bueno;14204
río claro;7108
río hurtado;4305
río ibáñez;11402
río negro;10305
romeral;7306
saavedra;9116
sagrada familia;7307
salamanca;4204
san antonio;5601
san bernardo;13401
san carlos;16301
san clemente;7109
san esteban;5304
san fabián;16304
san felipe;5701
san fernando;6301
san gregorio;12104
san ignacio;16108
san javier;7406
san joaquín;13129
san josé de maipo;13203
san juan de la costa;10306
san miguel;13130
san nicolás;16305
san pablo;10307
san pedro;13505
san pedro de atacama;2203
san pedro de la paz;8108
san rafael;7110
san ramón;13131
san rosendo;8310
san vicente;6117
santa bárbara;8311
santa cruz;6310
santa juana;8109
santa maría;5706
santiago;13101
santo domingo;5606
sierra gorda;2103
talagante;13601
talca;7101
talcahuano;8110
taltal;2104
temuco;9101
teno;7308
teodoro schimdt;9117
tierra amarilla;3103
tiltil;13303
tirúa;8207
tocopilla;2301
toltén;9118
tomé;8111
traiguén;9210
trehuaco;16207
tucapel;8312
valdivia;14101
vallenar;3301
valparaíso;5101
vichuquén;7309
victoria;9211
vicuña;4106
vilcún;9119
villa alegre;7407
villa alemana;5804
villarrica;9120
viña del mar;5109
vitacura;13132
yerbas buenas;7408
yumbel;8313
yungay;16109
zapallar;5405
