"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"aisén ","sí","mapuche ","mujer",1058,"2006",11201
"aisén ","sí","no pertenece a ningún pueblo indígena","mujer",7667,"2006",11201
"aisén ","sí","kawaskar","mujer",35,"2006",11201
"aisén ","sí","kawaskar","hombre",35,"2006",11201
"aisén ","sí","no pertenece a ningún pueblo indígena","hombre",7523,"2006",11201
"aisén ","sí","mapuche ","hombre",815,"2006",11201
"aisén ","no","no pertenece a ningún pueblo indígena","hombre",226,"2006",11201
"aisén ","no","no pertenece a ningún pueblo indígena","mujer",193,"2006",11201
"aisén ","no","mapuche ","mujer",44,"2006",11201
"aisén ","no","mapuche ","hombre",14,"2006",11201
"algarrobo ","no","no pertenece a ningún pueblo indígena","mujer",273,"2006",5602
"algarrobo ","sí","no pertenece a ningún pueblo indígena","mujer",3970,"2006",5602
"algarrobo ","sí","atacameño","hombre",30,"2006",5602
"algarrobo ","sí","mapuche ","hombre",41,"2006",5602
"algarrobo ","sí","no pertenece a ningún pueblo indígena","hombre",3679,"2006",5602
"algarrobo ","no","mapuche ","mujer",4,"2006",5602
"algarrobo ","no","no pertenece a ningún pueblo indígena","hombre",211,"2006",5602
"algarrobo ","sí","mapuche ","mujer",97,"2006",5602
"alhué ","sí","no pertenece a ningún pueblo indígena","hombre",1490,"2006",13502
"alhué ","no","no pertenece a ningún pueblo indígena","mujer",183,"2006",13502
"alhué ","sí","mapuche ","mujer",34,"2006",13502
"alhué ","sí","mapuche ","hombre",24,"2006",13502
"alhué ","sí","no pertenece a ningún pueblo indígena","mujer",1511,"2006",13502
"alhué ","no","no pertenece a ningún pueblo indígena","hombre",174,"2006",13502
"alto bío bío ","no","mapuche ","mujer",784,"2006",8314
"alto bío bío ","sí","no pertenece a ningún pueblo indígena","mujer",689,"2006",8314
"alto bío bío ","sí","mapuche ","mujer",1398,"2006",8314
"alto bío bío ","no","no pertenece a ningún pueblo indígena","mujer",145,"2006",8314
"alto bío bío ","sí","mapuche ","hombre",1529,"2006",8314
"alto bío bío ","no","no pertenece a ningún pueblo indígena","hombre",124,"2006",8314
"alto bío bío ","no","mapuche ","hombre",448,"2006",8314
"alto bío bío ","sí","no pertenece a ningún pueblo indígena","hombre",935,"2006",8314
"alto del carmen ","no","diaguita","hombre",41,"2006",3302
"alto del carmen ","sí","diaguita","mujer",267,"2006",3302
"alto del carmen ","sí","no pertenece a ningún pueblo indígena","hombre",1332,"2006",3302
"alto del carmen ","no","diaguita","mujer",39,"2006",3302
"alto del carmen ","sí","aymara","mujer",9,"2006",3302
"alto del carmen ","no","no pertenece a ningún pueblo indígena","hombre",104,"2006",3302
"alto del carmen ","no","no pertenece a ningún pueblo indígena","mujer",127,"2006",3302
"alto del carmen ","sí","atacameño","hombre",4,"2006",3302
"alto del carmen ","sí","no pertenece a ningún pueblo indígena","mujer",1174,"2006",3302
"alto del carmen ","sí","sin dato","mujer",7,"2006",3302
"alto del carmen ","sí","aymara","hombre",9,"2006",3302
"alto del carmen ","sí","diaguita","hombre",322,"2006",3302
"alto hospicio ","sí","sin dato","hombre",308,"2006",1107
"alto hospicio ","sí","aymara","hombre",3317,"2006",1107
"alto hospicio ","sí","sin dato","mujer",616,"2006",1107
"alto hospicio ","sí","mapuche ","hombre",220,"2006",1107
"alto hospicio ","sí","aymara","mujer",3285,"2006",1107
"alto hospicio ","sí","no pertenece a ningún pueblo indígena","hombre",21525,"2006",1107
"alto hospicio ","sí","no pertenece a ningún pueblo indígena","mujer",19568,"2006",1107
"alto hospicio ","sí","quechua ","mujer",185,"2006",1107
"alto hospicio ","no","no pertenece a ningún pueblo indígena","mujer",471,"2006",1107
"alto hospicio ","no","aymara","mujer",226,"2006",1107
"alto hospicio ","no","aymara","hombre",73,"2006",1107
"alto hospicio ","no","no pertenece a ningún pueblo indígena","hombre",261,"2006",1107
"alto hospicio ","sí","mapuche ","mujer",795,"2006",1107
"ancud ","no","mapuche ","mujer",141,"2006",10202
"ancud ","no","no pertenece a ningún pueblo indígena","hombre",550,"2006",10202
"ancud ","sí","no pertenece a ningún pueblo indígena","mujer",13292,"2006",10202
"ancud ","sí","no pertenece a ningún pueblo indígena","hombre",11977,"2006",10202
"ancud ","no","mapuche ","hombre",124,"2006",10202
"ancud ","no","no pertenece a ningún pueblo indígena","mujer",581,"2006",10202
