"","unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"1","algarrobo","mapuche","no","hombre",59,"2009",5602
"2","algarrobo","no pertenece a ningún pueblo indígena","no","hombre",146,"2009",5602
"3","algarrobo","no pertenece a ningún pueblo indígena","sí","mujer",4197,"2009",5602
"4","algarrobo","mapuche","sí","mujer",401,"2009",5602
"5","algarrobo","mapuche","sí","hombre",156,"2009",5602
"6","algarrobo","no pertenece a ningún pueblo indígena","sí","hombre",4324,"2009",5602
"7","algarrobo","no pertenece a ningún pueblo indígena","no","mujer",302,"2009",5602
"8","alhué","no pertenece a ningún pueblo indígena","no","hombre",143,"2009",13502
"9","alhué","no pertenece a ningún pueblo indígena","sí","hombre",1589,"2009",13502
"10","alhué","mapuche","sí","hombre",34,"2009",13502
"11","alhué","no pertenece a ningún pueblo indígena","no","mujer",103,"2009",13502
"12","alhué","aymara","sí","mujer",6,"2009",13502
"13","alhué","aymara","sí","hombre",18,"2009",13502
"14","alhué","no pertenece a ningún pueblo indígena","sí","mujer",1549,"2009",13502
"15","alhué","mapuche","sí","mujer",21,"2009",13502
"16","alto bío bío","mapuche","sí","mujer",1768,"2009",8314
"17","alto bío bío","mapuche","sí","hombre",2245,"2009",8314
"18","alto bío bío","no pertenece a ningún pueblo indígena","sí","mujer",810,"2009",8314
"19","alto bío bío","no pertenece a ningún pueblo indígena","no","hombre",117,"2009",8314
"20","alto bío bío","no pertenece a ningún pueblo indígena","sí","hombre",978,"2009",8314
"21","alto bío bío","quechua","sí","hombre",7,"2009",8314
"22","alto bío bío","no pertenece a ningún pueblo indígena","no","mujer",161,"2009",8314
"23","alto bío bío","mapuche","no","hombre",636,"2009",8314
"24","alto bío bío","mapuche","no","mujer",893,"2009",8314
"25","alto del carmen","diaguita","no","hombre",36,"2009",3302
"26","alto del carmen","no pertenece a ningún pueblo indígena","sí","mujer",1190,"2009",3302
"27","alto del carmen","no pertenece a ningún pueblo indígena","sí","hombre",1214,"2009",3302
"28","alto del carmen","kawésqar","sí","mujer",18,"2009",3302
"29","alto del carmen","aymara","sí","mujer",8,"2009",3302
"30","alto del carmen","diaguita","sí","mujer",461,"2009",3302
"31","alto del carmen","diaguita","no","mujer",47,"2009",3302
"32","alto del carmen","aymara","sí","hombre",8,"2009",3302
"33","alto del carmen","diaguita","sí","hombre",366,"2009",3302
"34","alto del carmen","no pertenece a ningún pueblo indígena","no","hombre",115,"2009",3302
"35","alto del carmen","no pertenece a ningún pueblo indígena","no","mujer",105,"2009",3302
"36","alto hospicio","no pertenece a ningún pueblo indígena","sí","mujer",23789,"2009",1107
"37","alto hospicio","mapuche","no","mujer",45,"2009",1107
"38","alto hospicio","mapuche","no","hombre",45,"2009",1107
"39","alto hospicio","kawésqar","sí","hombre",64,"2009",1107
"40","alto hospicio","mapuche","sí","mujer",1227,"2009",1107
"41","alto hospicio","mapuche","sí","hombre",957,"2009",1107
"42","alto hospicio","aymara","no","mujer",456,"2009",1107
"43","alto hospicio","rapa nui ","sí","mujer",378,"2009",1107
"44","alto hospicio","quechua","sí","hombre",64,"2009",1107
"45","alto hospicio","aymara","sí","mujer",4277,"2009",1107
"46","alto hospicio","quechua","sí","mujer",217,"2009",1107
"47","alto hospicio","atacameño","sí","hombre",46,"2009",1107
"48","alto hospicio","no pertenece a ningún pueblo indígena","no","hombre",440,"2009",1107
"49","alto hospicio","no pertenece a ningún pueblo indígena","sí","hombre",26150,"2009",1107
"50","alto hospicio","no pertenece a ningún pueblo indígena","no","mujer",547,"2009",1107
"51","alto hospicio","aymara","no","hombre",150,"2009",1107
"52","alto hospicio","aymara","sí","hombre",2672,"2009",1107
"53","ancud","no pertenece a ningún pueblo indígena","sí","mujer",13427,"2009",10202
"54","ancud","mapuche","sí","mujer",2236,"2009",10202
"55","ancud","no pertenece a ningún pueblo indígena","sí","hombre",13554,"2009",10202
"56","ancud","no pertenece a ningún pueblo indígena","no","mujer",510,"2009",10202
"57","ancud","mapuche","no","mujer",116,"2009",10202
"58","ancud","mapuche","sí","hombre",2168,"2009",10202
"59","ancud","diaguita","sí","hombre",47,"2009",10202
"60","ancud","no pertenece a ningún pueblo indígena","no","hombre",369,"2009",10202
"61","andacollo","no pertenece a ningún pueblo indígena","no","mujer",257,"2009",4103
"62","andacollo","diaguita","sí","hombre",20,"2009",4103
"63","andacollo","no pertenece a ningún pueblo indígena","no","hombre",208,"2009",4103
"64","andacollo","mapuche","sí","hombre",10,"2009",4103
"65","andacollo","no pertenece a ningún pueblo indígena","sí","mujer",3338,"2009",4103
"66","andacollo","no pertenece a ningún pueblo indígena","sí","hombre",3245,"2009",4103
"67","angol","no pertenece a ningún pueblo indígena","no","mujer",1069,"2009",9201
"68","angol","mapuche","sí","mujer",1438,"2009",9201
"69","angol","mapuche","no","mujer",99,"2009",9201
"70","angol","mapuche","sí","hombre",636,"2009",9201
"71","angol","no pertenece a ningún pueblo indígena","sí","hombre",16255,"2009",9201
"72","angol","no pertenece a ningún pueblo indígena","sí","mujer",17198,"2009",9201
"73","angol","no pertenece a ningún pueblo indígena","no","hombre",1805,"2009",9201
"74","antofagasta","aymara","sí","hombre",523,"2009",2101
"75","antofagasta","quechua","sí","hombre",408,"2009",2101
"76","antofagasta","mapuche","sí","hombre",640,"2009",2101
"77","antofagasta","coya","sí","hombre",326,"2009",2101
"78","antofagasta","atacameño","sí","mujer",184,"2009",2101
"79","antofagasta","mapuche","sí","mujer",837,"2009",2101
"80","antofagasta","no pertenece a ningún pueblo indígena","no","mujer",2392,"2009",2101
"81","antofagasta","atacameño","sí","hombre",403,"2009",2101
"82","antofagasta","no pertenece a ningún pueblo indígena","sí","mujer",127950,"2009",2101
"83","antofagasta","coya","sí","mujer",326,"2009",2101
"84","antofagasta","no pertenece a ningún pueblo indígena","no","hombre",1530,"2009",2101
"85","antofagasta","aymara","sí","mujer",464,"2009",2101
"86","antofagasta","no pertenece a ningún pueblo indígena","sí","hombre",114842,"2009",2101
"87","antofagasta","quechua","no","mujer",204,"2009",2101
"88","antofagasta","quechua","sí","mujer",612,"2009",2101
"89","antuco","kawésqar","sí","hombre",4,"2009",8302
"90","antuco","mapuche","sí","hombre",5,"2009",8302
"91","antuco","no pertenece a ningún pueblo indígena","sí","hombre",1272,"2009",8302
"92","antuco","no pertenece a ningún pueblo indígena","no","mujer",97,"2009",8302
"93","antuco","no pertenece a ningún pueblo indígena","no","hombre",83,"2009",8302
"94","antuco","no pertenece a ningún pueblo indígena","sí","mujer",1330,"2009",8302
