"","Group.1","Group.2","Group.3","Group.4","mean.dataset2006_final$ytotaj"
"1","iquique ","sí","aymara","hombre",442332.9375
"2","camiña ","sí","aymara","hombre",229287.26984127
"3","colchane ","sí","aymara","hombre",240538.635135135
"4","huara ","sí","aymara","hombre",211641.116883117
"5","pica ","sí","aymara","hombre",294084.870967742
"6","pozo almonte ","sí","aymara","hombre",413930.470588235
"7","alto hospicio ","sí","aymara","hombre",214729.75
"8","arica ","sí","aymara","hombre",294699.320987654
"9","camarones ","sí","aymara","hombre",247303.530612245
"10","putre ","sí","aymara","hombre",250633.802919708
"11","general lagos ","sí","aymara","hombre",152318.12195122
"12","antofagasta ","sí","aymara","hombre",338576.333333333
"13","mejillones ","sí","aymara","hombre",353046.25
"14","sierra gorda ","sí","aymara","hombre",251743
"15","calama ","sí","aymara","hombre",521974.727272727
"16","san pedro de atacama ","sí","aymara","hombre",171700
"17","maría elena ","sí","aymara","hombre",337800
"18","caldera ","sí","aymara","hombre",NA
"19","vallenar ","sí","aymara","hombre",735926
"20","alto del carmen ","sí","aymara","hombre",4126
"21","coquimbo ","sí","aymara","hombre",84166
"22","salamanca ","sí","aymara","hombre",54210
"23","ovalle ","sí","aymara","hombre",136350
"24","combarbalá ","sí","aymara","hombre",355680
"25","punitaqui ","sí","aymara","hombre",NA
"26","concón ","sí","aymara","hombre",215466
"27","viña del mar ","sí","aymara","hombre",181800
"28","rinconada ","sí","aymara","hombre",367818
"29","la calera ","sí","aymara","hombre",193406
"30","santo domingo ","sí","aymara","hombre",478660
"31","san felipe ","sí","aymara","hombre",253341
"32","vichuquén ","sí","aymara","hombre",511304
"33","talcahuano ","sí","aymara","hombre",112600
"34","laja ","sí","aymara","hombre",1786545
"35","coelemu ","sí","aymara","hombre",673102
"36","san carlos ","sí","aymara","hombre",277600
"37","san ignacio ","sí","aymara","hombre",138210
"38","carahue ","sí","aymara","hombre",44186
"39","freire ","sí","aymara","hombre",240414
"40","melipeuco ","sí","aymara","hombre",177846
"41","frutillar ","sí","aymara","hombre",176750
"42","santiago ","sí","aymara","hombre",60000
"43","cerrillos ","sí","aymara","hombre",618102
"44","conchalí ","sí","aymara","hombre",NA
"45","el bosque ","sí","aymara","hombre",161600
"46","independencia ","sí","aymara","hombre",353162
"47","la florida ","sí","aymara","hombre",151500
"48","la granja ","sí","aymara","hombre",208743.333333333
"49","Ñuñoa ","sí","aymara","hombre",1269503
"50","pedro aguirre cerda ","sí","aymara","hombre",854293.333333333
"51","providencia ","sí","aymara","hombre",33780
"52","pudahuel ","sí","aymara","hombre",882831
"53","puente alto ","sí","aymara","hombre",889420
"54","pirque ","sí","aymara","hombre",186850
"55","colina ","sí","aymara","hombre",715806
"56","lampa ","sí","aymara","hombre",151500
"57","tiltil ","sí","aymara","hombre",190357
"58","calera de tango ","sí","aymara","hombre",2613375
"59","camiña ","no","aymara","hombre",103153.857142857
"60","colchane ","no","aymara","hombre",138353.6
"61","huara ","no","aymara","hombre",135273.6
"62","pozo almonte ","no","aymara","hombre",65271.5
"63","alto hospicio ","no","aymara","hombre",206014
"64","arica ","no","aymara","hombre",154296.4
"65","camarones ","no","aymara","hombre",215335.083333333
"66","putre ","no","aymara","hombre",174936.428571429
"67","general lagos ","no","aymara","hombre",140421
"68","calama ","no","aymara","hombre",121200
"69","teodoro schimdt ","no","aymara","hombre",44186
"70","camiña ","sí","rapa nui ","hombre",176750
"71","mejillones ","sí","rapa nui ","hombre",97634
"72","san esteban ","sí","rapa nui ","hombre",NA
"73","villa alegre ","sí","rapa nui ","hombre",60600
"74","saavedra ","sí","rapa nui ","hombre",8234
"75","paillaco ","sí","rapa nui ","hombre",44186
"76","porvenir ","sí","rapa nui ","hombre",2401179
"77","natales ","sí","rapa nui ","hombre",NA
"78","san miguel ","sí","rapa nui ","hombre",304263
"79","iquique ","sí","quechua ","hombre",161600
"80","colchane ","sí","quechua ","hombre",510458
"81","huara ","sí","quechua ","hombre",231224.090909091
"82","pozo almonte ","sí","quechua ","hombre",305134.875
"83","camarones ","sí","quechua ","hombre",275766
"84","calama ","sí","quechua ","hombre",236438.3
"85","ollague ","sí","quechua ","hombre",338819
"86","san pedro de atacama ","sí","quechua ","hombre",600729
"87","paihuano ","sí","quechua ","hombre",136350
"88","calle larga ","sí","quechua ","hombre",96082
"89","chanco ","sí","quechua ","hombre",71112
"90","galvarino ","sí","quechua ","hombre",4126
"91","quemchi ","sí","quechua ","hombre",143651.5
"92","coyhaique ","sí","quechua ","hombre",NA
"93","estación central ","sí","quechua ","hombre",694112
"94","la granja ","sí","quechua ","hombre",318519
"95","pudahuel ","sí","quechua ","hombre",151500
"96","paine ","sí","quechua ","hombre",131300
"97","isla de maipo ","sí","quechua ","hombre",274889
"98","colchane ","no","quechua ","hombre",47103
"99","calama ","no","quechua ","hombre",NA
"100","ollague ","no","quechua ","hombre",231480
"101","iquique ","sí","mapuche ","hombre",366879.428571429
"102","huara ","sí","mapuche ","hombre",379887.25
"103","pica ","sí","mapuche ","hombre",90862
"104","pozo almonte ","sí","mapuche ","hombre",663842
"105","alto hospicio ","sí","mapuche ","hombre",760430.666666667
"106","arica ","sí","mapuche ","hombre",190708.714285714
"107","putre ","sí","mapuche ","hombre",313542
"108","antofagasta ","sí","mapuche ","hombre",904627.75
"109","mejillones ","sí","mapuche ","hombre",976631.5
"110","sierra gorda ","sí","mapuche ","hombre",222705
"111","taltal ","sí","mapuche ","hombre",276602
"112","calama ","sí","mapuche ","hombre",185350.2
"113","san pedro de atacama ","sí","mapuche ","hombre",636596.5
"114","tocopilla ","sí","mapuche ","hombre",467638
"115","maría elena ","sí","mapuche ","hombre",586378
"116","copiapó ","sí","mapuche ","hombre",509351
"117","caldera ","sí","mapuche ","hombre",354903.5
"118","tierra amarilla ","sí","mapuche ","hombre",267354.375
"119","chañaral ","sí","mapuche ","hombre",501188
"120","vallenar ","sí","mapuche ","hombre",277817
"121","freirina ","sí","mapuche ","hombre",NA
"122","la serena ","sí","mapuche ","hombre",266278.666666667
"123","coquimbo ","sí","mapuche ","hombre",189056.857142857
"124","la higuera ","sí","mapuche ","hombre",NA
"125","paihuano ","sí","mapuche ","hombre",141682.5
"126","vicuña ","sí","mapuche ","hombre",310744
"127","canela ","sí","mapuche ","hombre",NA
"128","los vilos ","sí","mapuche ","hombre",302582.166666667
"129","salamanca ","sí","mapuche ","hombre",237921.2
"130","ovalle ","sí","mapuche ","hombre",138370
"131","combarbalá ","sí","mapuche ","hombre",232300
"132","monte patria ","sí","mapuche ","hombre",131300
"133","punitaqui ","sí","mapuche ","hombre",260528
"134","valparaíso ","sí","mapuche ","hombre",431428.166666667
"135","casablanca ","sí","mapuche ","hombre",223729.428571429
"136","concón ","sí","mapuche ","hombre",527632.666666667
"137","puchuncaví ","sí","mapuche ","hombre",146385
"138","quilpué ","sí","mapuche ","hombre",765022.5
"139","quintero ","sí","mapuche ","hombre",284981.333333333
"140","villa alemana ","sí","mapuche ","hombre",375178.666666667
"141","viña del mar ","sí","mapuche ","hombre",338199.75
"142","los andes ","sí","mapuche ","hombre",341125.666666667
"143","calle larga ","sí","mapuche ","hombre",357014.5
"144","rinconada ","sí","mapuche ","hombre",274393.333333333
"145","san esteban ","sí","mapuche ","hombre",83946
"146","la ligua ","sí","mapuche ","hombre",222200
"147","papudo ","sí","mapuche ","hombre",395324
"148","petorca ","sí","mapuche ","hombre",136350
"149","zapallar ","sí","mapuche ","hombre",141400
"150","quillota ","sí","mapuche ","hombre",286099.857142857
"151","la calera ","sí","mapuche ","hombre",NA
"152","hijuelas ","sí","mapuche ","hombre",177228
"153","la cruz ","sí","mapuche ","hombre",182443.4
"154","limache ","sí","mapuche ","hombre",315703
"155","nogales ","sí","mapuche ","hombre",NA
"156","olmué ","sí","mapuche ","hombre",359200
"157","san antonio ","sí","mapuche ","hombre",174578.714285714
"158","algarrobo ","sí","mapuche ","hombre",460279
"159","cartagena ","sí","mapuche ","hombre",102262.5
"160","el quisco ","sí","mapuche ","hombre",419318.333333333
"161","el tabo ","sí","mapuche ","hombre",160680.666666667
"162","santo domingo ","sí","mapuche ","hombre",387730
"163","san felipe ","sí","mapuche ","hombre",131976.2
"164","catemu ","sí","mapuche ","hombre",126250
"165","llay llay ","sí","mapuche ","hombre",176748
"166","panquehue ","sí","mapuche ","hombre",587160
"167","putaendo ","sí","mapuche ","hombre",313100
"168","santa maría ","sí","mapuche ","hombre",106488.166666667
"169","rancagua ","sí","mapuche ","hombre",237070.5
"170","codegua ","sí","mapuche ","hombre",289663
"171","coinco ","sí","mapuche ","hombre",346545
"172","coltauco ","sí","mapuche ","hombre",296564.5
"173","doñihue ","sí","mapuche ","hombre",232185.285714286
"174","graneros ","sí","mapuche ","hombre",84883
"175","las cabras ","sí","mapuche ","hombre",384780
"176","machalí ","sí","mapuche ","hombre",170522
"177","malloa ","sí","mapuche ","hombre",148975
"178","mostazal ","sí","mapuche ","hombre",298736.666666667
"179","olivar ","sí","mapuche ","hombre",205182.5
"180","peumo ","sí","mapuche ","hombre",187213.333333333
"181","pichidegua ","sí","mapuche ","hombre",355680
"182","quinta de tilcoco ","sí","mapuche ","hombre",224533.2
"183","rengo ","sí","mapuche ","hombre",277634.6
"184","requínoa ","sí","mapuche ","hombre",115738.666666667
"185","san vicente ","sí","mapuche ","hombre",68686
"186","pichilemu ","sí","mapuche ","hombre",120000
"187","litueche ","sí","mapuche ","hombre",222200
"188","marchihue ","sí","mapuche ","hombre",219783.5
"189","navidad ","sí","mapuche ","hombre",773864
"190","san fernando ","sí","mapuche ","hombre",293926.5
"191","chépica ","sí","mapuche ","hombre",279778
"192","chimbarongo ","sí","mapuche ","hombre",35350
"193","palmilla ","sí","mapuche ","hombre",346107.857142857
"194","peralillo ","sí","mapuche ","hombre",210028
"195","placilla ","sí","mapuche ","hombre",105126
"196","santa cruz ","sí","mapuche ","hombre",308980.666666667
"197","talca ","sí","mapuche ","hombre",160486.833333333
"198","constitución ","sí","mapuche ","hombre",130101
"199","curepto ","sí","mapuche ","hombre",281231.666666667
"200","empedrado ","sí","mapuche ","hombre",136350
"201","maule ","sí","mapuche ","hombre",44186
"202","pelarco ","sí","mapuche ","hombre",274196.5
"203","río claro ","sí","mapuche ","hombre",131080
"204","san clemente ","sí","mapuche ","hombre",132790
"205","cauquenes ","sí","mapuche ","hombre",121292.5
"206","chanco ","sí","mapuche ","hombre",60600
